question	output	answer
Give me a count of everything under the archipelago, where Papeete is the biggest town.	14	There are 14 things whose archipelago's largest city is Papeete.
List the relegion of Otani University which is also the life stance of udit Raj ?	Buddhism	Buddhism is the affiliation of Otani University and life stance of Udit Raj.
Which college of Luke List (golfer) is the alma mater of K. Terry Dornbush?	Vanderbilt University	The college of Luke List (golfer) and alma mater of K. Terry Dornbush is Vanderbilt University.
Where is the swedish covenant hospital?	Chicago, Illinois	The location of Swedish Covenant Hospital is Chicago, Illinois.
Where is the VP buried, which was served by Frederick Cooke?	Christchurch	The resting place of the vice president of Frederick Cooke is Christchurch.
Give me the characters who last appeared in Star Wars Episode 3.	Palpatine	Palpatine is the character who last appeared in Star Wars: Episode III Revenge of the Sith.
What games can be played in schools founded by Fr. Orlando?	Association football, Chess, Hockey, Throwball	The sports of the schools founded by Fr. Orlando are Association football, Chess, Hockey, Throwball.
where are the sister stations of CFRB broadcasted?	North America	The broadcast area of the radio station whose sister station is CFRB is North America.
Name the river with source country in Zambia and source region as North-Western Province, Zambia?	Zambezi	The river whose source country is Zambia and source region is North-Western Province, Zambia is Zambezi.
Who was the president under whom, a governor participated in Shay's rebellion?	James Madison	The president of the governor who was participant in battle of Shays' Rebellion is James Madison.
What are the awards won by the person who wrote the screenplay for Lost in Rio?	Academy Awards, Academy Award for Best Director, César Award for Best Director, César Award, BAFTA for Best Director, and other see ''[[#Awards	The awards of the person who wrote the screenplay of OSS 117: Lost in Rio are Academy Awards, Academy Award for Best Director, César Award for Best Director, César Award, BAFTA for Best Director, and other see ''#Awards.
Raymond Johansen is the mayor of what city?	Oslo	The city whose leader is Raymond Johansen is Oslo.
Give me the list of people who scaled mountains in Sierra Nevada?	answer	The people who first ascended the mountain ranging in Sierra Nevada are answer.
What are the houses of Parliament Security Services?	Rajya Sabha, Lok Sabha	The houses of Parliament Security Services are in Rajya Sabha, Lok Sabha.
Which writer of A literary Nightmare also extended the work of The Apple tree ?	Mark Twain	The person where The Apple Tree was based and author of A Literary Nightmare is Mark Twain.
What are some parties which have people from Mangalore as a member?	Indian National Congress, Bharatiya Janata Party	The political parties of the people born in Mangalore are Indian National Congress, Bharatiya Janata Party.
Count all the things licensed as Software as a service.	33	There are 33 things whose content license is Software as a service.
What is the Team Name of the Cristo Rey Jesuit High School (Chicago) and is also the nickname of the Lyons Township High School ?	Lion	Lion is the team name of the Cristo Rey Jesuit High School in Chicago and also nickname of the Lyons Township High School.
What is the occupation of the Irving Chernev and Karen Grigorian?	Chess	The occupation of the Irving Chernev and Karen Grigorian is Chess.
Name a famous relative of barry voight	Angelina Jolie	Angelina Jolie has relative Barry Voight.
Which distributer of Bombay Sapphire also makes Grewy goose ?	Bacardi	Bacardi is the manufacturer of the Grey Goose vodka and distributor of the Bombay Sapphire.
Name the institute of Alton Ochsner ?	Tulane University, Ochsner Medical Center	The institutes of Alton Ochsner are Tulane University, Ochsner Medical Center.
What is the state of origin of Thomas Pfyl ?	Switzerland	Switzerland is the state of origin of Thomas Pfyl.
Where do the rivers from greater London flow into?	River Crane, London, Brentford, River Thames, Petersham, London, Barn Elms	The mouths of the rivers whose source is in Greater London are River Crane, London, Brentford, River Thames, Petersham, London, Barn Elms.
Which recognized title of Frank Thorne is also the product of Playboy Enterprise?	Playboy	Playboy is the product of Playboy Enterprise and award of Frank Thorne.
Where does the road starting from Madison, Wisconsin end?	Madison, Wisconsin	The start of the road which ends in Madison, Wisconsin is Madison, Wisconsin.
How many battles have involved commanders of 1st Free French Division?	15	There are 15 battles involved commanders of 1st Free French Division.
Count the number of software which runs on Microsoft Windows and mac OS ?	135	There are 135 software running on both Microsoft Windows and Mac OS.
List all the parents of writers coming from the Great Missenden ?	Roald Dahl, Patricia Neal	The parents of the writer whose hometown is Great Missenden are Roald Dahl, Patricia Neal.
Ontario's ice hockey players have been a part of which teams?	answer	The teams of the ice hockey players born in Ontario are answer.
What political party has governed both in Baraily and Jowai?	Indian National Congress	Indian National Congress is the leader party of Baraily and Jowai.
Which religion followers are the members of Janata Dal?	Hindu, Hinduism, Buddhism, Sunni Islam, Islam	The religions of the members of Janata Dal party are Hindu, Hinduism, Buddhism, Sunni Islam, Islam.
Which US state has Dorchester Bay and the Joseph Story?	Massachusetts	Massachusetts is the state which has Joseph Story and Dorchester Bay.
What is the genre of Battle Chess?	Chess	Chess is the genre of Battle Chess .
Who are the players whose former teams are Carolina Panthers and Indianapolis Colts?	answer	The players whose former teams are Carolina Panthers and Indianapolis Colts are answer.
What is the home stadium of the club coached by Justine Omojong?	Nairobi, Kenya, Moi International Sports Centre	The home stadium of the soccer club whose coach is Justine Omojong is Nairobi, Kenya, Moi International Sports Centre.
Which US state gave us Brian Deegan and Harold Lyold?	Nebraska	The common place of birth of Brian Deegan and Harold Lloyd is Nebraska.
Which river's source mountain is Baikal Mountains and it's mouth is Lena Delta Wildlife Reserve?	Lena River	Lena River is the river whose source mountain is Baikal Mountains and mouth is Lena Delta Wildlife Reserve.
Which political party got elected in First Legislative Assembly of Uttar Pradesh?	Socialist Party (India), Indian National Congress	The political parties of First Legislative Assembly of Uttar Pradesh are Socialist Party (India), Indian National Congress.
In which nation does the league take place where C.D. Primeiro de Agosto play?	Angola	The country of the league where C.D. Primeiro de Agosto plays is Angola.
Which award is presented by Downtown Athletic Club?	Heisman Trophy, List of Heisman Trophy winners	The awards presented by Downtown Athletic Club are Heisman Trophy, List of Heisman Trophy winners.
Who is the developer of the software which distributes Batman: Arkham City Lockdown ?	Apple Inc., Google	The developers of the software which are the distributor of Batman: Arkham City Lockdown are Apple Inc., Google.
Who is the person whose parent is Ptolemy XII Auletes?	Cleopatra, Arsinoe IV of Egypt	The people whose parent is Ptolemy XII Auletes are Cleopatra, Arsinoe IV of Egypt.
Count the drinks originated in England.	18	There are 18 beverages originated from England.
What is the total number of other combatant of the military conflicts whose combatant is Choctaw?	22	There are 22 combatants of the military conflicts whose combatant is Choctaw.
Mac OS is the operating system of how many things?	170	There are 170 softwares whose operating system is Mac OS.
List the current members of Metro Station (band) ?	Mason Musso, Trace Cyrus	The members of Metro Station are Mason Musso, Trace Cyrus.
What is the religious affiliation of the Neungin High School which is also the academic interest of Sylvain Lvi ?	Buddhism	Buddhism is the religious affiliation of the Neungin High School and field of the Sylvain Lvi.
Who is the author of Heroman is also the author of Karakuri Dji Ultimo ?	Stan Lee	The common author of Heroman and Karakuri Dji Ultimo is Stan Lee.
Which cities were in the TV Show which came after The Ultimate Fighter: Brazil 2?	Nevada, Las Vegas Valley	The cities of the television show which is the subsequent work of The Ultimate Fighter: Brazil 2 are Nevada, Las Vegas Valley.
How many people were in a youthclub which played in the Argentine Primera Division?	1007	There are 1007 people whose youth clubs played in Argentine Primera Division league.
What is the official name of Colorado wine ?	Colorado	The official name of Colorado wine is Colorado.
List the doctoral students of Harry Harlow?	Mary Ainsworth, Abraham Maslow, John Bowlby	The doctoral students of Harry Harlow are Mary Ainsworth, Abraham Maslow, John Bowlby.
What is the alma mater of Julian Leow Beng Kim?	Rome, Sydney, Penang, Pontifical Gregorian University, St. Paul's Institution, Seremban, University of New South Wales, Seremban, College General, ,	The alma maters of Julian Leow Beng Kim are Rome, Sydney, Penang, Pontifical Gregorian University, St. Paul's Institution, Seremban, University of New South Wales, Seremban, College General, ,.
